ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_bin_08a, 316.8052, -625.2401, 28.29231, 0, 0, 0.9701607, -0.2424629, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_06_strm_0.ymap
prop_bin_08a, 317.8525, -625.5851, 28.29105, 0, 0, 0.9938332, -0.110885, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_06_strm_0.ymap
prop_bin_08a, 463.4754, -755.5748, 26.355, 0.001620001, 0.002880001, 0.5566862, 0.8307163, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_15_strm_0.ymap
prop_bin_08a, 466.0725, -729.1028, 26.35901, 0.001495001, -0.0001500001, -0.02351601, 0.9997223, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_15_strm_0.ymap
prop_bin_08a, 463.2899, -810.822, 26.07479, -0.02921101, -0.021992, -0.6779761, 0.7341741, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_15_strm_0.ymap
prop_bin_08a, 464.3898, -728.934, 26.35508, 0.004827, -7.2E-05, -0.003621, 0.9999818, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_15_strm_0.ymap
prop_bin_08a, 463.2997, -966.1774, 27.19584, 0.01485901, 0.01894301, 0.7126552, -0.7011012, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_strm_7.ymap
prop_bin_08a, 471.0575, -966.1581, 26.89985, 0.019807, 0.00499, 0.9996271, 0.018126, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_strm_7.ymap
prop_bin_08a, 771.7968, -136.436, 73.81158, -0.003903002, 0.003871002, -0.3394271, 0.9406163, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_11_strm_0.ymap
prop_bin_08a, 772.1041, -135.535, 73.81919, -0.006814998, 0.001888999, 0.3017729, 0.9533536, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_11_strm_0.ymap
prop_bin_08a, 772.6569, -134.9538, 73.82556, -0.001925, 0.004801, -0.49853, 0.866857, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_11_strm_0.ymap
prop_bin_08a, 787.7922, -142.8121, 73.83544, -0.008475, 0.002417, -0.343044, 0.939278, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_11_strm_0.ymap
prop_bin_08a, 788.5878, -121.9061, 74.87436, 0.002195001, -0.0006770003, 0.3812302, 0.9244773, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_11_strm_0.ymap
prop_bin_08a, 817.2086, -162.5124, 73.3513, -0.004133001, -0.04743202, 0.9833694, -0.1752651, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_11_strm_0.ymap
prop_bin_08a, 861.7771, -174.2005, 73.95921, -8.299998E-05, -0.000154, 0.9851258, -0.171835, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_12_strm_0.ymap
